Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|O95848|NUD14_HUMAN	O95848	NUD14_HUMAN	NUDT14	222	Homo sapiens	Uridine diphosphate glucose pyrophosphatase NUDT14	1:Experimental evidence at protein level	30.18	10.000	0.9990	5	5	5	9	9	9	136026688	136026688	136026688	1C(57.0214), 6C(57.0214), N-term(229.1692)			2.040.561.924	2.718.560.381	3.214.566.035	2.874.844.072	3.464.463.428	2.180.790.635	3.089.652.402	3.051.336.094	2.948.197.539	3.646.404.004	4.226.952.676
sp|O95861|BPNT1_HUMAN	O95861	BPNT1_HUMAN	BPNT1	308	Homo sapiens	3'(2'),5'-bisphosphate nucleotidase 1	1:Experimental evidence at protein level	53.25	10.000	0.9990	14	14	14	45	45	45	550957712	550957712	550957712	11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 1K(229.1629), 26K(229.1629), 2C(57.0214), 2M(15.9949), 3C(57.0214), 4M(15.9949), 5C(57.0214), 7C(57.0214), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			20.822.870.316	17.121.716.393	30.790.267.103	17.633.613.457	28.333.102.844	19.018.844.038	21.386.526.106	23.614.249.189	19.160.195.469	28.177.448.518	37.544.142.722
sp|O95864|FADS2_HUMAN	O95864	FADS2_HUMAN	FADS2	444	Homo sapiens	Acyl-CoA 6-desaturase	1:Experimental evidence at protein level	10.36	10.000	0.9990	5	4	5	5	4	5	35363120	17517960	35363120	11K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			3.156.439.258	567.496.211	2.007.564.697	755.432.273	2.010.760.303	1.616.205.181	775.931.318	1.083.999.067	840.895.547	1.890.947.695	2.553.165.518
sp|O95865|DDAH2_HUMAN	O95865	DDAH2_HUMAN	DDAH2	285	Homo sapiens	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	1:Experimental evidence at protein level	37.89	10.000	0.9990	10	9	10	17	16	17	385296264	385296264	385296264	11K(229.1629), 12K(229.1629), 14K(229.1629), 1C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			9.236.055.083	9.275.718.269	11.932.852.607	12.655.931.519	13.442.294.805	8.945.182.310	10.975.300.483	12.105.004.045	9.723.312.683	15.497.625.171	16.602.510.747
sp|O95870|ABHGA_HUMAN	O95870	ABHGA_HUMAN	ABHD16A	558	Homo sapiens	Phosphatidylserine lipase ABHD16A	1:Experimental evidence at protein level	19.00	10.000	0.9990	10	10	10	18	18	18	149089912	149089912	149089912	10K(229.1629), 4C(57.0214), 5C(57.0214), 9K(229.1629), N-term(229.1692)			6.536.761.206	6.599.662.166	7.793.991.987	7.066.546.338	7.393.711.958	4.455.077.568	7.336.466.650	7.057.931.187	8.051.282.573	9.145.087.646	9.445.991.338
sp|O95881|TXD12_HUMAN	O95881	TXD12_HUMAN	TXNDC12	172	Homo sapiens	Thioredoxin domain-containing protein 12	1:Experimental evidence at protein level	66.28	10.000	0.9990	9	9	9	25	25	25	860577200	860577200	860577200	10M(15.9949), 13M(15.9949), 14K(229.1629), 15K(229.1629), 26K(229.1629), 3C(57.0214), 6C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			21.067.768.792	14.866.836.492	21.974.270.444	17.787.237.219	30.485.790.942	15.472.442.534	19.160.544.038	19.977.394.062	19.669.992.144	29.126.029.124	30.251.988.909
sp|O95900|TRUB2_HUMAN	O95900	TRUB2_HUMAN	TRUB2	331	Homo sapiens	Pseudouridylate synthase TRUB2, mitochondrial	1:Experimental evidence at protein level	20.85	10.000	0.9990	6	6	6	9	9	9	121550282	121550282	121550282	12K(229.1629), 8K(229.1629), N-term(229.1692)			2.837.435.073	1.993.571.375	2.473.256.289	2.095.033.750	2.829.713.994	2.189.963.379	2.242.246.904	2.407.738.818	2.167.827.871	2.456.197.871	2.819.708.643
sp|O95905|ECD_HUMAN	O95905	ECD_HUMAN	ECD	644	Homo sapiens	Protein ecdysoneless homolog	1:Experimental evidence at protein level	15.99	10.000	0.9990	8	8	8	19	19	19	201790064	201790064	201790064	11K(229.1629), 12K(229.1629), 14C(57.0214), 14K(229.1629), 17K(229.1629), 3C(57.0214), 9C(57.0214), N-term(229.1692)			8.991.469.930	4.539.016.233	7.740.663.774	5.319.739.111	6.793.621.765	8.205.662.567	6.857.344.680	7.489.322.441	6.718.115.000	7.485.034.604	10.046.762.764
sp|O95926|SYF2_HUMAN	O95926	SYF2_HUMAN	SYF2	243	Homo sapiens	Pre-mRNA-splicing factor SYF2	1:Experimental evidence at protein level	45.27	10.000	0.9990	8	8	8	22	22	22	98606676	98606676	98606676	11K(229.1629), 28K(229.1629), 2C(57.0214), 3K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			5.508.439.415	3.532.038.199	4.238.749.662	3.676.637.942	5.127.063.899	4.772.286.880	3.979.902.052	3.497.448.842	4.134.080.067	4.743.435.444	6.066.922.024
sp|O95983|MBD3_HUMAN	O95983	MBD3_HUMAN	MBD3	291	Homo sapiens	Methyl-CpG-binding domain protein 3	1:Experimental evidence at protein level	26.12	10.000	0.9990	9	9	9	21	21	21	322918656	322918656	322918656	11K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 3M(15.9949), 8K(229.1629), N-term(229.1692)			15.190.722.568	11.597.551.509	16.162.990.134	13.431.868.267	16.345.045.273	13.543.719.331	13.351.471.809	16.505.003.945	13.695.236.099	17.131.025.396	23.491.709.990
sp|O95985|TOP3B_HUMAN	O95985	TOP3B_HUMAN	TOP3B	862	Homo sapiens	DNA topoisomerase 3-beta-1	1:Experimental evidence at protein level	38.05	10.000	0.9990	24	24	24	32	32	32	119305060	119305060	119305060	10C(57.0214), 10K(229.1629), 11K(229.1629), 12C(57.0214), 13C(57.0214), 13K(229.1629), 14C(57.0214), 15C(57.0214), 16C(57.0214), 17C(57.0214), 19K(229.1629), 1C(57.0214), 22C(57.0214), 27K(229.1629), 28K(229.1629), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8M(15.9949), 9K(229.1629), N-term(229.1692)			13.530.641.394	11.833.625.319	14.987.566.244	12.070.596.117	15.944.359.156	11.549.919.435	13.373.246.964	13.495.477.563	12.768.760.265	16.234.369.569	17.972.216.185
sp|O95989|NUDT3_HUMAN	O95989	NUDT3_HUMAN	NUDT3	172	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase 1	1:Experimental evidence at protein level	43.60	10.000	0.9990	10	8	10	29	23	29	531829208	381404200	531829208	11K(229.1629), 27C(57.0214), 33K(229.1629), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			21.956.146.270	17.812.437.168	23.358.406.797	19.770.567.847	26.883.629.097	20.384.632.300	21.361.923.364	21.591.471.733	19.134.212.095	25.594.606.299	29.686.109.795
sp|O95997|PTTG1_HUMAN	O95997	PTTG1_HUMAN	PTTG1	202	Homo sapiens	Securin	1:Experimental evidence at protein level	11.39	10.000	0.9990	3	2	3	5	4	5	35832800	33148056	35832800	8K(229.1629), N-term(229.1692), N-term(42.0106)			591.635.293	467.262.349	1.217.317.002	430.053.159	679.664.004	680.363.604	703.046.143	903.705.518	452.225.059	734.641.191	1.139.639.922
sp|O95999|BCL10_HUMAN	O95999	BCL10_HUMAN	BCL10	233	Homo sapiens	B-cell lymphoma/leukemia 10	1:Experimental evidence at protein level	19.31	10.000	0.9990	5	5	5	13	13	13	104423056	104423056	104423056	10K(229.1629), 12C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			6.645.382.158	6.299.697.764	8.824.613.301	6.881.210.898	8.127.854.316	6.589.671.621	8.073.471.641	7.584.466.348	7.707.337.148	9.408.401.543	10.696.277.852
sp|O96000|NDUBA_HUMAN	O96000	NDUBA_HUMAN	NDUFB10	172	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	1:Experimental evidence at protein level	36.05	10.000	0.9990	6	6	6	12	12	12	229576168	229576168	229576168	10K(229.1629), 11K(229.1629), 17K(229.1629), 3K(229.1629), 8C(57.0214), 9C(57.0214), 9K(229.1629), N-term(229.1692)			6.476.272.930	5.557.938.125	6.864.942.285	5.632.088.457	6.495.241.670	3.845.330.869	7.357.156.113	5.720.613.262	6.368.754.355	9.346.370.078	9.921.336.055
sp|O96005|CLPT1_HUMAN	O96005	CLPT1_HUMAN	CLPTM1	669	Homo sapiens	Putative lipid scramblase CLPTM1	1:Experimental evidence at protein level	8.37	10.000	0.9990	6	6	6	10	10	10	91662322	91662322	91662322	12K(229.1629), 4C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			4.876.106.934	2.762.686.846	4.113.672.471	2.846.691.357	4.169.839.746	3.336.198.652	3.770.971.377	4.182.847.642	3.199.351.079	4.005.758.027	5.535.609.854
sp|O96006|ZBED1_HUMAN	O96006	ZBED1_HUMAN	ZBED1	694	Homo sapiens	E3 SUMO-protein ligase ZBED1	1:Experimental evidence at protein level	10.23	10.000	0.9990	7	7	7	13	13	13	84030374	84030374	84030374	10K(229.1629), 11K(229.1629), 12K(229.1629), 7C(57.0214), N-term(229.1692)			5.313.887.871	3.911.906.104	5.721.415.703	4.015.361.074	6.322.807.900	4.635.293.223	4.539.951.982	5.071.625.498	5.067.758.486	5.903.698.115	6.546.609.150
sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	Homo sapiens	Mitochondrial import receptor subunit TOM40 homolog	1:Experimental evidence at protein level	39.61	10.000	0.9990	9	9	9	19	19	19	161219722	161219722	161219722	11K(229.1629), 15K(229.1629), 16K(229.1629), 18C(57.0214), 20C(57.0214), 22C(57.0214), 24C(57.0214), 30C(57.0214), 33K(229.1629), 34C(57.0214), 37K(229.1629), 3C(57.0214), 9K(229.1629), N-term(229.1692)			6.128.933.608	4.037.681.836	5.724.806.245	3.966.565.117	5.583.878.149	3.751.832.446	4.853.103.169	4.762.915.557	4.450.254.092	6.833.524.941	7.036.669.399
sp|O96011|PX11B_HUMAN	O96011	PX11B_HUMAN	PEX11B	259	Homo sapiens	Peroxisomal membrane protein 11B	1:Experimental evidence at protein level	3.09	10.000	0.9990	1	1	1	1	1	1	15423406	15423406	15423406	N-term(229.1692)			601.827.148	828.517.656	728.143.906	795.363.281	954.123.516	599.984.531	862.092.891	681.668.203	632.475.898	1.199.060.078	751.460.859
sp|O96013|PAK4_HUMAN	O96013	PAK4_HUMAN	PAK4	591	Homo sapiens	Serine/threonine-protein kinase PAK 4	1:Experimental evidence at protein level	17.60	10.000	0.9990	10	8	10	19	16	19	91430560	88361230	91430560	12K(229.1629), 13K(229.1629), 17K(229.1629), 7C(57.0214), N-term(229.1692)			8.472.072.712	6.417.383.578	9.834.253.733	7.013.700.039	9.208.098.906	8.228.866.437	8.562.741.478	9.420.575.936	8.610.241.255	10.600.765.201	11.840.444.591
sp|O96017|CHK2_HUMAN	O96017	CHK2_HUMAN	CHEK2	543	Homo sapiens	Serine/threonine-protein kinase Chk2	1:Experimental evidence at protein level	32.04	10.000	0.9990	15	14	15	30	26	30	200412748	197093128	200412748	11K(229.1629), 16C(57.0214), 16K(229.1629), 18K(229.1629), 19K(229.1629), 1K(229.1629), 24K(229.1629), 26K(229.1629), 3K(229.1629), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			11.719.001.388	9.962.553.367	15.196.422.468	10.310.681.652	12.618.463.391	10.780.390.725	13.201.797.234	13.282.691.721	11.903.726.978	14.511.813.254	17.402.133.994
sp|O96018|APBA3_HUMAN	O96018	APBA3_HUMAN	APBA3	575	Homo sapiens	Amyloid-beta A4 precursor protein-binding family A member 3	1:Experimental evidence at protein level	4.70	10.000	0.9990	2	2	2	2	2	2	48446233	48446233	48446233	N-term(229.1692)			542.857.188	481.009.248	353.316.230	495.702.646	482.017.620	511.455.430	497.084.590	392.839.575	321.356.357	532.751.514	617.113.740
sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	Homo sapiens	Actin-like protein 6A	1:Experimental evidence at protein level	52.91	10.000	0.9990	18	15	18	66	58	66	517994032	485088688	517994032	10K(229.1629), 10M(15.9949), 12C(57.0214), 12K(229.1629), 13K(229.1629), 15M(15.9949), 17C(57.0214), 18K(229.1629), 19K(229.1629), 20M(15.9949), 26K(229.1629), 2K(229.1629), 30K(229.1629), 3M(15.9949), 5M(15.9949), 8C(57.0214), 8K(229.1629), 9M(15.9949), N-term(229.1692)			53.007.134.229	62.018.832.960	81.152.627.473	54.125.672.427	53.371.478.513	58.296.776.528	70.042.081.324	96.470.495.068	76.744.045.103	90.478.746.060	86.418.810.872
sp|O96028|NSD2_HUMAN	O96028	NSD2_HUMAN	NSD2	1365	Homo sapiens	Histone-lysine N-methyltransferase NSD2	1:Experimental evidence at protein level	29.82	10.000	0.9990	34	33	34	51	49	51	121516766	121516766	121516766	10C(57.0214), 10K(229.1629), 11C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 17C(57.0214), 17K(229.1629), 19K(229.1629), 1C(57.0214), 21K(229.1629), 24K(229.1629), 27K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 4K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			16.486.048.589	12.469.613.242	20.718.215.356	13.805.068.832	17.430.641.729	16.118.517.961	16.339.335.811	20.583.602.234	14.954.030.464	18.628.733.328	26.869.329.585
sp|O96033|MOC2A_HUMAN	O96033	MOC2A_HUMAN	MOCS2	88	Homo sapiens	Molybdopterin synthase sulfur carrier subunit	1:Experimental evidence at protein level	25.00	10.000	0.9990	2	2	2	2	2	2	0	0	0	14K(229.1629), 5C(57.0214), N-term(229.1692), N-term(42.0106)			804.768.420	536.258.901	667.005.781	620.827.065	886.927.729	638.372.573	627.237.148	514.970.349	609.423.789	639.660.144	770.058.491
sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	Cytochrome b5	1:Experimental evidence at protein level	16.42	10.000	0.9990	2	2	2	2	2	2	40799702	40799702	40799702	9K(229.1629), N-term(229.1692), N-term(42.0106)			237.057.793	320.808.262	421.568.711	400.772.148	272.264.121	269.852.871	411.814.414	456.598.086	642.175.273	512.525.820	405.421.680
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	L-lactate dehydrogenase A chain	1:Experimental evidence at protein level	85.24	10.000	0.9990	28	23	28	340	277	340	13155274752	13155274752	13155274752	10K(229.1629), 11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14C(57.0214), 15C(57.0214), 15K(229.1629), 17K(229.1629), 19M(15.9949), 20K(229.1629), 21K(229.1629), 27K(229.1629), 27M(15.9949), 2K(229.1629), 33M(15.9949), 35K(229.1629), 3M(15.9949), 41K(229.1629), 4M(15.9949), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6M(15.9949), 7M(15.9949), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1692)			235.898.314.168	184.104.232.652	293.833.325.308	208.037.184.384	331.565.107.523	233.147.647.728	237.332.204.269	249.186.371.819	175.895.718.375	332.332.964.124	401.281.738.523
sp|P00367|DHE3_HUMAN	P00367	DHE3_HUMAN	GLUD1	558	Homo sapiens	Glutamate dehydrogenase 1, mitochondrial	1:Experimental evidence at protein level	52.87	10.000	0.9990	30	5	30	181	23	181	2095480128	628841752	2095480128	10C(57.0214), 11C(57.0214), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13C(57.0214), 14K(229.1629), 14M(15.9949), 15M(15.9949), 16K(229.1629), 17K(229.1629), 1C(57.0214), 1C(57.0214), 20K(229.1629), 21K(229.1629), 23K(229.1629), 2C(57.0214), 2K(229.1629), 3K(229.1629), 3M(15.9949), 4M(15.9949), 5C(57.0214), 6M(15.9949), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			85.121.362.301	113.667.990.872	149.092.448.594	131.172.750.999	124.653.784.985	77.128.798.949	129.413.823.901	114.670.402.639	146.224.980.901	142.923.076.550	167.498.178.374
sp|P00374|DYR_HUMAN	P00374	DYR_HUMAN	DHFR	187	Homo sapiens	Dihydrofolate reductase	1:Experimental evidence at protein level	66.84	10.000	0.9990	10	8	10	29	24	29	99935034	84901920	99935034	10K(229.1629), 14K(229.1629), 16K(229.1629), 18K(229.1629), 3M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			23.204.700.950	13.050.734.585	16.019.640.042	14.985.256.262	22.498.366.082	23.897.544.214	17.130.596.113	18.955.336.367	15.572.808.281	17.757.095.725	23.656.557.676
sp|P00387|NB5R3_HUMAN	P00387	NB5R3_HUMAN	CYB5R3	301	Homo sapiens	NADH-cytochrome b5 reductase 3	1:Experimental evidence at protein level	60.47	10.000	0.9990	16	16	16	39	39	39	387154792	387154792	387154792	11K(229.1629), 12C(57.0214), 14K(229.1629), 14M(15.9949), 15C(57.0214), 18K(229.1629), 19K(229.1629), 22K(229.1629), 25C(57.0214), 3M(15.9949), 4K(229.1629), 4M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1692)			19.846.653.115	17.875.157.791	26.031.941.300	19.826.548.591	25.532.742.139	12.189.260.824	23.373.782.915	19.693.089.170	21.542.717.131	30.050.181.094	32.292.116.890
sp|P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	Homo sapiens	Glutathione reductase, mitochondrial	1:Experimental evidence at protein level	67.62	10.000	0.9990	24	24	24	69	69	69	947942816	947942816	947942816	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 18K(229.1629), 23C(57.0214), 23K(229.1629), 26K(229.1629), 29K(229.1629), 2M(15.9949), 3C(57.0214), 5M(15.9949), 6K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), N-term(229.1692)			38.101.238.745	42.254.945.740	59.943.907.908	45.623.193.972	51.514.533.110	28.889.068.872	52.326.366.052	40.644.447.739	48.108.889.866	61.137.136.562	67.325.606.987
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	Homo sapiens	Cytochrome c oxidase subunit 2	1:Experimental evidence at protein level	48.02	10.000	0.9990	6	6	6	20	20	20	527743632	527743632	527743632	16K(229.1629), 18C(57.0214), 20K(229.1629), 22C(57.0214), 2M(15.9949), 39K(229.1629), 4M(15.9949), N-term(229.1692)			4.740.368.501	4.330.974.556	6.287.640.416	4.283.929.790	6.114.619.017	3.043.528.648	5.453.176.348	5.051.306.896	4.034.681.080	6.493.266.677	5.905.395.583
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	Superoxide dismutase [Cu-Zn]	1:Experimental evidence at protein level	63.64	10.000	0.9990	9	9	9	40	40	40	3487775296	3487775296	3487775296	12K(229.1629), 14K(229.1629), 20C(57.0214), 3C(57.0214), 5K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			64.183.393.196	64.353.925.205	72.435.887.917	87.798.682.374	79.369.564.199	61.736.833.833	68.439.612.886	56.797.470.665	56.720.321.130	54.557.658.106	106.030.170.872
sp|P00451|FA8_HUMAN	P00451	FA8_HUMAN	F8	2351	Homo sapiens	Coagulation factor VIII	1:Experimental evidence at protein level	1.19	10.000	0.9990	3	2	2	4	2	2	36021938	5288826	36021938	12K(229.1629), N-term(229.1692)			1.575.185.015	1.213.190.615	1.369.336.553	1.335.910.239	1.842.876.941	834.678.750	1.527.686.943	1.381.884.590	1.873.857.656	2.058.925.078	3.251.023.174
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	7.79	10.000	0.9990	4	4	4	14	14	14	90423694	90423694	90423694	10K(229.1629), 16K(229.1629), 17M(15.9949), 1C(57.0214), 1K(229.1629), 21K(229.1629), N-term(229.1692)			1.637.514.404	3.686.761.914	3.793.083.115	3.495.853.970	2.198.464.116	2.658.654.358	5.950.855.273	4.884.324.028	7.992.886.982	3.374.365.581	4.943.854.033
sp|P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	Homo sapiens	Purine nucleoside phosphorylase	1:Experimental evidence at protein level	82.01	10.000	0.9990	19	19	19	93	93	93	2082720960	2082720960	2082720960	10K(229.1629), 11K(229.1629), 17K(229.1629), 21C(57.0214), 22K(229.1629), 27C(57.0214), 2C(57.0214), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5M(15.9949), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(229.1692), N-term(42.0106)			33.302.052.437	26.934.844.808	43.581.766.045	32.770.457.251	46.368.211.564	30.498.524.348	33.839.759.456	34.829.859.629	28.680.251.395	42.382.377.737	60.668.446.349
sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	Homo sapiens	Hypoxanthine-guanine phosphoribosyltransferase	1:Experimental evidence at protein level	66.97	10.000	0.9990	12	11	12	21	20	21	1599733568	1510716560	1599733568	10K(229.1629), 11C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 19C(57.0214), 2M(15.9949), 3C(57.0214), 4M(15.9949), 6C(57.0214), 7K(229.1629), 9M(15.9949), N-term(229.1692)			13.334.998.818	10.601.304.136	14.978.527.979	12.341.633.154	15.377.455.059	11.608.144.688	14.189.858.652	13.265.293.701	11.457.962.480	15.420.337.183	21.312.464.561
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	Homo sapiens	Aspartate aminotransferase, mitochondrial	1:Experimental evidence at protein level	50.23	10.000	0.9990	19	19	19	60	60	60	914584864	914584864	914584864	10C(57.0214), 12C(57.0214), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 23K(229.1629), 2C(57.0214), 2M(15.9949), 4M(15.9949), 6M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			35.247.190.288	44.695.882.681	44.917.146.532	47.245.605.884	36.092.582.432	28.900.543.522	61.311.760.181	45.164.518.071	68.842.579.678	46.599.676.240	62.017.363.486
sp|P00519|ABL1_HUMAN	P00519	ABL1_HUMAN	ABL1	1130	Homo sapiens	Tyrosine-protein kinase ABL1	1:Experimental evidence at protein level	11.95	10.000	0.9990	13	12	13	20	18	20	55192266	47006623	55192266	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 1K(229.1629), 2C(57.0214), 6C(57.0214), 7C(57.0214), 9K(229.1629), N-term(229.1692)			5.801.750.330	5.532.369.993	7.275.037.886	5.987.916.826	6.526.139.023	5.493.339.856	6.667.975.505	7.483.644.194	6.431.672.739	8.194.516.499	10.158.035.303
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens	Phosphoglycerate kinase 1	1:Experimental evidence at protein level	71.22	10.000	0.9990	27	23	27	469	447	469	19724199936	18336035840	19724199936	10K(229.1629), 10M(15.9949), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14C(57.0214), 15C(57.0214), 15M(15.9949), 16K(229.1629), 16M(15.9949), 17K(229.1629), 18K(229.1629), 19C(57.0214), 19K(229.1629), 1K(229.1629), 25K(229.1629), 26K(229.1629), 2C(57.0214), 2K(229.1629), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			211.834.876.321	214.088.592.050	331.451.013.608	250.999.181.047	329.878.725.906	212.251.465.557	268.009.934.744	256.629.365.811	240.310.330.583	359.367.194.424	424.457.842.810
sp|P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	Homo sapiens	Adenylate kinase isoenzyme 1	1:Experimental evidence at protein level	58.76	10.000	0.9990	9	8	9	12	11	12	115381258	115381258	115381258	12K(229.1629), 15C(57.0214), 16K(229.1629), 1K(229.1629), 22K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			9.339.557.751	5.412.493.705	7.242.226.582	8.816.950.330	9.767.518.894	7.123.034.165	6.642.126.079	6.418.937.568	4.809.827.196	7.570.567.439	7.358.264.729
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	20.26	10.000	0.9990	11	11	11	59	59	59	1811631360	1811631360	1811631360	10M(15.9949), 11K(229.1629), 13C(57.0214), 15M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19C(57.0214), 1K(229.1629), 24K(229.1629), 4C(57.0214), 4M(15.9949), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214), N-term(229.1692)			6.119.404.338	26.949.470.615	29.120.371.287	28.015.492.593	13.323.008.694	14.084.440.969	34.108.663.765	19.434.436.187	52.278.095.112	11.820.260.767	26.593.486.309
