Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|P63000|RAC1_HUMAN	P63000	RAC1_HUMAN	RAC1	192	Homo sapiens	Ras-related C3 botulinum toxin substrate 1	1:Experimental evidence at protein level	39.06	10.000	0.9990	9	2	9	36	8	36	1962863712	69884164	1962863712	10K(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13M(15.9949), 14K(229.1629), 15K(229.1629), 1C(57.0214), 1K(229.1629), 4C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			23.759.618.071	30.504.784.526	23.440.850.688	33.373.032.578	28.879.207.280	34.183.334.243	36.627.978.701	24.521.511.162	33.105.934.883	22.763.258.871	43.019.758.149
sp|P63010|AP2B1_HUMAN	P63010	AP2B1_HUMAN	AP2B1	937	Homo sapiens	AP-2 complex subunit beta	1:Experimental evidence at protein level	37.25	10.000	0.9990	31	17	31	70	39	70	1422546208	527348488	1422546208	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15K(229.1629), 17K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 2C(57.0214), 37K(229.1629), 4C(57.0214), 5C(57.0214), 5M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1692)			44.286.898.433	46.497.690.063	32.261.032.280	52.566.245.166	47.981.666.123	50.558.392.903	59.241.617.561	38.676.755.549	57.317.841.580	31.809.697.439	75.312.906.226
sp|P63027|VAMP2_HUMAN	P63027	VAMP2_HUMAN	VAMP2	116	Homo sapiens	Vesicle-associated membrane protein 2	1:Experimental evidence at protein level	6.03	10.000	0.9990	1	0	0	2	0	0	367161152	0	367161152				5.563.349.141	3.166.350.469	5.539.485.469	3.556.134.688	2.511.752.266	2.659.087.578	2.936.835.078	2.458.721.250	5.209.953.047	3.351.027.266	8.283.848.906
sp|P63092|GNAS2_HUMAN	P63092	GNAS2_HUMAN	GNAS	394	Homo sapiens	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	1:Experimental evidence at protein level	41.62	10.000	0.9990	14	1	13	32	1	25	647303872	88907400	647303872	10K(229.1629), 11C(57.0214), 2K(229.1629), 5C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			17.018.074.707	22.965.360.405	13.015.363.604	25.488.580.479	20.927.583.398	26.182.882.290	23.493.510.117	18.675.180.674	24.683.102.471	14.320.630.278	25.613.954.346
sp|P63096|GNAI1_HUMAN	P63096	GNAI1_HUMAN	GNAI1	354	Homo sapiens	Guanine nucleotide-binding protein G(i) subunit alpha-1	1:Experimental evidence at protein level	7.91	10.000	0.9990	3	0	0	15	0	0	714494776	0	714494776				10.309.094.355	15.925.041.914	8.170.214.805	17.122.018.643	13.612.179.121	16.705.634.062	14.307.381.660	10.236.953.477	16.603.939.668	7.354.943.633	18.963.888.867
sp|P63098|CANB1_HUMAN	P63098	CANB1_HUMAN	PPP3R1	170	Homo sapiens	Calcineurin subunit B type 1	1:Experimental evidence at protein level	59.41	10.000	0.9990	7	6	7	22	17	22	648782288	636116608	648782288	10K(229.1629), 14K(229.1629), 16K(229.1629), 17K(229.1629), 1K(229.1629), 2M(15.9949), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			8.689.066.459	11.943.717.333	9.401.250.078	12.941.142.429	12.177.222.742	13.171.829.270	12.786.372.134	11.436.329.517	12.250.555.911	10.677.484.601	17.531.667.545
sp|P63104|1433Z_HUMAN	P63104	1433Z_HUMAN	YWHAZ	245	Homo sapiens	14-3-3 protein zeta/delta	1:Experimental evidence at protein level	74.29	10.000	0.9990	23	16	22	336	273	335	14935835648	5560695680	14935835648	11K(229.1629), 11M(15.9949), 12K(229.1629), 14C(57.0214), 15M(15.9949), 16K(229.1629), 18K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 22K(229.1629), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4M(15.9949), 6M(15.9949), 7C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1692)			144.739.524.182	202.421.463.948	113.960.985.241	243.139.644.004	190.053.424.779	223.545.374.669	239.464.495.146	156.729.917.667	242.846.294.271	157.639.759.738	303.624.052.208
sp|P63151|2ABA_HUMAN	P63151	2ABA_HUMAN	PPP2R2A	447	Homo sapiens	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	1:Experimental evidence at protein level	63.31	10.000	0.9990	23	13	23	69	46	69	631738752	449044176	631738752	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 17K(229.1629), 18K(229.1629), 20K(229.1629), 2K(229.1629), 30K(229.1629), 3C(57.0214), 4C(57.0214), 6M(15.9949), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			22.348.203.992	23.713.452.773	20.793.403.970	27.351.662.505	30.312.654.905	26.429.855.288	31.953.232.126	26.114.162.280	26.906.704.629	25.605.892.266	39.360.613.821
sp|P63165|SUMO1_HUMAN	P63165	SUMO1_HUMAN	SUMO1	101	Homo sapiens	Small ubiquitin-related modifier 1	1:Experimental evidence at protein level	32.67	10.000	0.9990	5	5	5	14	14	14	815193920	815193920	815193920	10K(229.1629), 15K(229.1629), 16K(229.1629), 5M(15.9949), 6K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			8.237.264.141	8.484.569.004	9.280.663.975	10.681.287.188	10.494.990.156	9.527.909.863	11.942.791.719	8.836.330.830	10.321.558.008	9.440.480.256	14.021.472.051
sp|P63167|DYL1_HUMAN	P63167	DYL1_HUMAN	DYNLL1	89	Homo sapiens	Dynein light chain 1, cytoplasmic	1:Experimental evidence at protein level	59.55	10.000	0.9990	5	2	5	43	34	43	1354158440	649316716	1354158440	11K(229.1629), 15C(57.0214), 1K(229.1629), 22K(229.1629), 4M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), N-term(229.1692)			12.268.647.461	12.265.324.209	10.465.322.632	13.247.032.891	11.711.397.646	10.995.422.620	14.406.806.624	9.341.076.741	14.008.878.547	7.679.396.393	18.482.004.678
sp|P63172|DYLT1_HUMAN	P63172	DYLT1_HUMAN	DYNLT1	113	Homo sapiens	Dynein light chain Tctex-type 1	1:Experimental evidence at protein level	60.18	10.000	0.9990	4	4	4	14	14	14	248245944	248245944	248245944	10K(229.1629), 11C(57.0214), 16K(229.1629), 18K(229.1629), 21C(57.0214), 5C(57.0214), N-term(229.1692)			12.735.884.421	16.779.949.137	13.376.241.357	17.799.193.647	17.449.350.364	17.306.697.151	18.365.820.400	15.139.077.537	18.604.687.217	15.047.393.265	26.494.851.248
sp|P63173|RL38_HUMAN	P63173	RL38_HUMAN	RPL38	70	Homo sapiens	Large ribosomal subunit protein eL38	1:Experimental evidence at protein level	38.57	10.000	0.9990	3	3	3	18	18	18	2609101552	2609101552	2609101552	10K(229.1629), N-term(229.1692)			24.565.564.742	25.934.248.384	18.010.234.355	29.341.286.201	22.783.705.131	24.404.071.042	35.333.014.867	22.331.885.515	29.557.656.848	21.226.646.737	36.615.982.839
sp|P63208|SKP1_HUMAN	P63208	SKP1_HUMAN	SKP1	163	Homo sapiens	S-phase kinase-associated protein 1	1:Experimental evidence at protein level	66.87	10.000	0.9990	10	10	10	41	41	41	1994038464	1994038464	1994038464	12K(229.1629), 13K(229.1629), 14K(229.1629), 17K(229.1629), 28K(229.1629), 2K(229.1629), 2M(15.9949), 5C(57.0214), 5M(15.9949), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			27.335.514.081	30.523.348.882	28.966.255.039	34.437.453.207	37.239.751.877	32.989.368.730	43.208.744.261	31.844.905.959	33.932.595.594	28.680.864.742	49.849.999.828
sp|P63218|GBG5_HUMAN	P63218	GBG5_HUMAN	GNG5	68	Homo sapiens	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	1:Experimental evidence at protein level	88.24	10.000	0.9990	5	3	5	18	10	18	1279247392	347078004	1279247392	10K(229.1629), 1K(229.1629), 27K(229.1629), 3C(57.0214), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			9.259.034.578	10.409.280.596	8.591.933.232	11.380.333.394	10.370.282.766	10.641.758.623	10.365.045.518	8.416.081.548	11.697.942.529	8.611.184.438	15.903.940.649
sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	RPS21	83	Homo sapiens	Small ribosomal subunit protein eS21	1:Experimental evidence at protein level	80.72	10.000	0.9990	8	8	8	53	53	53	5394536704	5394536704	5394536704	10K(229.1629), 14K(229.1629), 16K(229.1629), 1M(15.9949), 2M(15.9949), 5C(57.0214), 7K(229.1629), 7M(15.9949), N-term(229.1692), N-term(42.0106)			72.733.663.121	76.906.564.037	62.829.315.350	86.692.563.032	75.974.136.064	67.693.452.084	103.972.265.371	53.232.013.186	80.820.134.587	49.191.018.524	114.358.483.557
sp|P63241|IF5A1_HUMAN	P63241	IF5A1_HUMAN	EIF5A	154	Homo sapiens	Eukaryotic translation initiation factor 5A-1	1:Experimental evidence at protein level	66.88	10.000	0.9990	10	1	10	97	4	97	6921768768	103638336	6921768768	12K(229.1629), 12M(15.9949), 17K(229.1629), 18K(229.1629), 19M(15.9949), 1K(229.1629), 21C(57.0214), 26K(229.1629), 4M(15.9949), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			46.196.835.897	52.261.203.955	32.809.541.127	51.184.512.551	50.878.366.268	48.752.131.414	69.208.636.226	37.235.096.486	54.036.748.579	33.112.674.763	75.380.427.546
sp|P63244|RACK1_HUMAN	P63244	RACK1_HUMAN	RACK1	317	Homo sapiens	Small ribosomal subunit protein RACK1	1:Experimental evidence at protein level	82.65	10.000	0.9990	25	25	25	363	363	363	5859678080	5859678080	5859678080	11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14C(57.0214), 15C(57.0214), 16K(229.1629), 17K(229.1629), 18M(15.9949), 22C(57.0214), 26K(229.1629), 27K(229.1629), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			113.303.661.216	132.305.905.676	117.696.550.917	150.616.611.636	131.890.497.100	142.265.919.385	171.720.072.493	120.252.296.826	147.807.665.026	119.238.761.086	207.369.190.745
sp|P63261|ACTG_HUMAN	P63261	ACTG_HUMAN	ACTG1	375	Homo sapiens	Actin, cytoplasmic 2	1:Experimental evidence at protein level	84.27	10.000	0.9990	37	1	1	1796	27	27	34104521728	520575212	34104521728	15M(15.9949), 16C(57.0214), 17K(229.1629), N-term(42.0106)			1.446.863.140.609	2.050.322.760.591	1.260.677.920.279	2.223.575.332.130	1.681.768.086.396	2.002.467.318.210	2.157.137.216.978	1.575.003.971.723	2.391.956.219.092	1.534.083.475.598	2.939.197.300.309
sp|P63272|SPT4H_HUMAN	P63272	SPT4H_HUMAN	SUPT4H1	117	Homo sapiens	Transcription elongation factor SPT4	1:Experimental evidence at protein level	43.59	10.000	0.9990	6	5	5	12	9	9	329897944	221855076	329897944	10C(57.0214), 13C(57.0214), 20K(229.1629), 5K(229.1629), 7K(229.1629), N-term(229.1692)			9.597.404.316	10.811.798.838	5.928.514.775	12.456.081.738	8.937.950.479	11.736.172.559	14.359.056.191	8.631.350.361	12.842.120.645	6.914.515.508	15.273.150.527
sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	SUMO-conjugating enzyme UBC9	1:Experimental evidence at protein level	69.62	10.000	0.9990	9	9	9	52	52	52	1634259696	1634259696	1634259696	11K(229.1629), 13C(57.0214), 17C(57.0214), 18K(229.1629), 19C(57.0214), 19K(229.1629), 1C(57.0214), 1K(229.1629), 25K(229.1629), 27K(229.1629), 28C(57.0214), 2K(229.1629), 36K(229.1629), 6M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1692)			18.629.253.057	20.514.232.859	18.668.623.936	23.781.853.022	24.076.524.553	21.494.566.460	27.113.967.754	22.004.453.169	22.799.121.738	23.102.057.889	35.405.533.608
sp|P63313|TYB10_HUMAN	P63313	TYB10_HUMAN	TMSB10	44	Homo sapiens	Thymosin beta-10	1:Experimental evidence at protein level	63.64	10.000	0.9990	3	1	1	21	11	11	12268875648	1984188046	12268875648	14K(229.1629), 3K(229.1629), 6M(15.9949), N-term(42.0106)			150.252.227.839	405.588.127.358	144.019.967.283	353.133.385.835	157.895.158.037	292.340.611.929	265.250.870.859	136.190.355.193	397.697.251.987	88.575.755.417	435.968.783.081
sp|P67775|PP2AA_HUMAN	P67775	PP2AA_HUMAN	PPP2CA	309	Homo sapiens	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	1:Experimental evidence at protein level	67.31	10.000	0.9990	17	2	17	69	8	69	1021373168	608403020	1021373168	10M(15.9949), 11C(57.0214), 12C(57.0214), 13K(229.1629), 15C(57.0214), 15K(229.1629), 1C(57.0214), 1K(229.1629), 6C(57.0214), 6M(15.9949), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692)			21.248.525.798	25.268.684.534	16.586.378.470	28.731.305.516	24.741.374.426	25.735.506.780	33.471.313.369	22.318.775.212	27.570.866.357	19.945.527.234	35.008.915.381
sp|P67809|YBOX1_HUMAN	P67809	YBOX1_HUMAN	YBX1	324	Homo sapiens	Y-box-binding protein 1	1:Experimental evidence at protein level	71.30	10.000	0.9990	24	19	20	131	86	92	3209142720	2779510400	3209142720	11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 18K(229.1629), 19K(229.1629), 25K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			75.652.951.375	73.234.557.793	68.263.437.246	78.839.537.220	73.810.053.206	70.505.471.874	105.654.578.964	66.531.437.043	74.636.546.583	66.989.387.628	117.879.597.919
sp|P67812|SC11A_HUMAN	P67812	SC11A_HUMAN	SEC11A	179	Homo sapiens	Signal peptidase complex catalytic subunit SEC11A	1:Experimental evidence at protein level	11.17	10.000	0.9990	3	1	3	9	3	9	239812140	47973460	239812140	13K(229.1629), N-term(229.1692)			4.102.751.914	5.040.595.400	3.809.124.775	5.025.499.258	4.781.561.392	5.263.402.090	5.347.606.602	3.871.595.693	5.002.762.402	4.112.184.219	7.227.877.598
sp|P67870|CSK2B_HUMAN	P67870	CSK2B_HUMAN	CSNK2B	215	Homo sapiens	Casein kinase II subunit beta	1:Experimental evidence at protein level	26.51	10.000	0.9990	4	4	4	29	29	29	502650864	502650864	502650864	17K(229.1629), 21M(15.9949), 23K(229.1629), 3C(57.0214), 4M(15.9949), 5M(15.9949), 8K(229.1629), 8M(15.9949), N-term(229.1692)			10.021.181.067	11.841.342.485	9.671.160.159	12.921.137.135	12.100.977.549	12.919.146.117	14.220.197.361	13.807.544.043	13.898.859.376	11.795.745.371	17.919.102.952
sp|P67936|TPM4_HUMAN	P67936	TPM4_HUMAN	TPM4	248	Homo sapiens	Tropomyosin alpha-4 chain	1:Experimental evidence at protein level	80.65	10.000	0.9990	32	12	32	101	19	101	11590290176	4719960256	11590290176	10K(229.1629), 11K(229.1629), 19C(57.0214), 1C(57.0214), 1K(229.1629), 21K(229.1629), 2K(229.1629), 2M(15.9949), 3K(229.1629), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			137.179.104.713	163.176.985.239	125.328.035.184	181.302.284.607	140.630.903.469	162.086.256.974	211.916.913.645	117.422.132.590	187.015.565.857	131.199.639.395	242.649.650.081
sp|P68032|ACTC_HUMAN	P68032	ACTC_HUMAN	ACTC1	377	Homo sapiens	Actin, alpha cardiac muscle 1	1:Experimental evidence at protein level	76.66	10.000	0.9990	28	0	10	872	0	268	32116334080	0	32116334080	12M(15.9949), 14K(229.1629), 14M(15.9949), 16K(229.1629), 18K(229.1629), 1C(57.0214), 23K(229.1629), 29M(15.9949), 2C(57.0214), 30K(229.1629), 3C(57.0214), 7K(229.1629), N-term(229.1692)			1.168.908.824.445	1.794.467.632.585	946.928.833.419	1.981.558.042.049	1.314.097.081.110	1.692.494.139.518	1.785.529.350.048	1.159.703.610.554	2.061.321.313.900	1.120.713.811.855	2.380.356.699.621
sp|P68036|UB2L3_HUMAN	P68036	UB2L3_HUMAN	UBE2L3	154	Homo sapiens	Ubiquitin-conjugating enzyme E2 L3	1:Experimental evidence at protein level	65.58	10.000	0.9990	7	4	7	80	70	80	1957754336	189431840	1957754336	12K(229.1629), 14K(229.1629), 15K(229.1629), 25K(229.1629), 31K(229.1629), 4C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			21.042.389.043	22.407.793.245	17.020.859.200	24.980.869.810	25.676.251.427	22.234.032.629	33.705.521.932	19.858.285.448	24.182.556.117	16.316.768.911	37.646.131.411
sp|P68104|EF1A1_HUMAN	P68104	EF1A1_HUMAN	EEF1A1	462	Homo sapiens	Elongation factor 1-alpha 1	1:Experimental evidence at protein level	78.57	10.000	0.9990	38	2	38	1134	197	1134	25117099008	549391168	25117099008	10K(229.1629), 10M(15.9949), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 13M(15.9949), 15C(57.0214), 15K(229.1629), 15M(15.9949), 16C(57.0214), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 21M(15.9949), 22M(15.9949), 23K(229.1629), 24K(229.1629), 25K(229.1629), 26K(229.1629), 28M(15.9949), 29K(229.1629), 29M(15.9949), 2K(229.1629), 2M(15.9949), 32K(229.1629), 33C(57.0214), 33K(229.1629), 35K(229.1629), 3C(57.0214), 3M(15.9949), 40C(57.0214), 41C(57.0214), 41K(229.1629), 48C(57.0214), 49K(229.1629), 4M(15.9949), 5M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			710.819.489.943	797.730.179.771	468.901.819.342	936.686.277.789	690.727.764.661	794.198.311.391	1.021.669.750.291	583.000.125.109	966.952.131.333	427.742.818.795	1.020.043.495.450
sp|P68106|FKB1B_HUMAN	P68106	FKB1B_HUMAN	FKBP1B	108	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP1B	1:Experimental evidence at protein level	24.07	10.000	0.9990	4	1	1	10	4	4	469916040	28633454	469916040	N-term(229.1692)			12.652.256.387	13.298.801.465	14.033.708.906	13.140.878.477	13.229.092.051	13.353.779.824	13.474.459.590	13.313.778.857	16.915.783.926	13.992.270.352	22.021.152.734
sp|P68133|ACTS_HUMAN	P68133	ACTS_HUMAN	ACTA1	377	Homo sapiens	Actin, alpha skeletal muscle	1:Experimental evidence at protein level	76.66	10.000	0.9990	28	1	1	805	12	12	32116334080	34091733	32116334080	14M(15.9949), 8M(15.9949), N-term(229.1692)			1.162.344.628.976	1.785.576.417.338	941.404.991.847	1.970.828.473.030	1.306.331.563.521	1.679.422.872.458	1.774.994.795.858	1.151.886.886.359	2.047.303.788.270	1.112.619.736.212	2.365.986.732.067
sp|P68363|TBA1B_HUMAN	P68363	TBA1B_HUMAN	TUBA1B	451	Homo sapiens	Tubulin alpha-1B chain	1:Experimental evidence at protein level	68.96	10.000	0.9990	31	0	31	671	0	671	21045829120	0	21045829120	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 20K(229.1629), 22M(15.9949), 23M(15.9949), 24K(229.1629), 24M(15.9949), 28K(229.1629), 29K(229.1629), 2M(15.9949), 30M(15.9949), 3C(57.0214), 3M(15.9949), 4C(57.0214), 4K(229.1629), 4M(15.9949), 5C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), N-term(229.1692)			494.675.599.620	535.319.355.846	349.949.819.423	600.389.977.610	574.650.390.211	559.715.202.385	697.178.612.305	469.942.197.720	628.754.892.477	376.458.007.612	789.764.846.991
sp|P68366|TBA4A_HUMAN	P68366	TBA4A_HUMAN	TUBA4A	448	Homo sapiens	Tubulin alpha-4A chain	1:Experimental evidence at protein level	60.71	10.000	0.9990	27	6	6	504	17	17	16967145472	554542661	16967145472	10K(229.1629), 14C(57.0214), 20K(229.1629), N-term(229.1692)			437.628.307.493	470.674.262.558	305.304.231.213	523.738.812.429	498.180.313.051	487.522.760.457	614.715.115.698	411.001.551.251	548.584.185.114	335.737.017.457	689.024.857.606
sp|P68371|TBB4B_HUMAN	P68371	TBB4B_HUMAN	TUBB4B	445	Homo sapiens	Tubulin beta-4B chain	1:Experimental evidence at protein level	80.22	10.000	0.9990	33	1	3	1055	5	24	10274310656	967492148	10274310656	11M(15.9949), 12K(229.1629), N-term(229.1692)			404.710.721.538	430.712.414.455	346.955.672.908	460.851.790.249	466.580.981.558	452.703.303.090	534.521.779.794	401.216.499.252	512.698.172.773	372.769.586.426	681.418.175.045
sp|P68400|CSK21_HUMAN	P68400	CSK21_HUMAN	CSNK2A1	391	Homo sapiens	Casein kinase II subunit alpha	1:Experimental evidence at protein level	46.55	10.000	0.9990	18	1	18	51	4	51	396523096	102477696	396523096	13K(229.1629), 15K(229.1629), 19K(229.1629), 23K(229.1629), 3K(229.1629), 3M(15.9949), 6K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			18.841.400.540	19.335.457.583	13.967.699.916	20.249.530.508	21.650.348.955	20.651.907.411	26.027.630.740	18.389.290.198	21.549.214.517	15.510.090.790	29.325.266.299
sp|P68402|PA1B2_HUMAN	P68402	PA1B2_HUMAN	PAFAH1B2	229	Homo sapiens	Platelet-activating factor acetylhydrolase IB subunit alpha2	1:Experimental evidence at protein level	49.34	10.000	0.9990	8	8	8	26	26	26	559036232	559036232	559036232	10K(229.1629), 22C(57.0214), 24M(15.9949), 25M(15.9949), 38K(229.1629), 3K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			13.685.818.044	16.499.782.004	11.156.476.368	19.374.888.420	14.556.759.993	18.545.469.790	17.721.776.641	13.079.269.974	20.242.835.669	12.860.252.429	23.203.794.863
sp|P68431|H31_HUMAN	P68431	H31_HUMAN	H3C1	136	Homo sapiens	Histone H3.1	1:Experimental evidence at protein level	71.32	10.000	0.9990	13	1	1	192	84	84	25079144960	108215310	25079144960	13C(57.0214), 27C(57.0214), 32K(229.1629), 7M(15.9949), N-term(229.1692)			574.532.899.327	562.020.876.342	456.729.090.342	553.050.288.796	520.999.308.378	627.377.768.859	645.706.283.387	567.102.800.078	628.276.249.841	340.431.374.896	896.527.280.236
sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens	Hemoglobin subunit beta	1:Experimental evidence at protein level	59.86	10.000	0.9990	7	3	7	48	5	48	8773238696	41937788	8773238696	11C(57.0214), 13K(229.1629), 15M(15.9949), 16K(229.1629), 19K(229.1629), 8K(229.1629), N-term(229.1692)			5.084.710.656	78.643.137.745	49.672.399.851	62.513.846.902	80.486.581.902	90.410.947.103	29.365.400.457	125.356.790.872	17.718.505.212	55.975.911.090	46.302.838.793
sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	Hemoglobin subunit alpha	1:Experimental evidence at protein level	46.48	10.000	0.9990	8	7	8	71	66	71	11841647872	11841647872	11841647872	12K(229.1629), 16K(229.1629), 16M(15.9949), 1M(15.9949), 24K(229.1629), 5K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			11.108.825.466	185.258.639.823	93.522.377.517	142.621.170.706	163.028.615.043	151.550.188.439	69.532.834.691	228.755.052.144	52.959.096.041	103.768.157.975	104.722.280.017
sp|P78312|F193A_HUMAN	P78312	F193A_HUMAN	FAM193A	1265	Homo sapiens	Protein FAM193A	1:Experimental evidence at protein level	6.96	10.000	0.9990	7	7	7	10	10	10	16530076	16530076	16530076	14K(229.1629), 15K(229.1629), 1C(57.0214), 20K(229.1629), 7K(229.1629), N-term(229.1692)			941.478.115	884.154.519	644.043.015	923.600.698	988.583.127	800.063.914	1.080.614.490	682.309.213	974.125.752	843.488.853	1.286.916.470
